,buying,maint,doors,persons,lug_boot,safety,class
0,3,3,0,0,2,1,1
1,3,3,0,0,2,2,1
2,3,3,0,0,2,0,1
3,3,3,0,0,1,1,1
4,3,3,0,0,1,2,1
5,3,3,0,0,1,0,1
6,3,3,0,0,0,1,1
7,3,3,0,0,0,2,1
8,3,3,0,0,0,0,1
9,3,3,0,1,2,1,1
10,3,3,0,1,2,2,1
11,3,3,0,1,2,0,1
12,3,3,0,1,1,1,1
13,3,3,0,1,1,2,1
14,3,3,0,1,1,0,1
15,3,3,0,1,0,1,1
16,3,3,0,1,0,2,1
17,3,3,0,1,0,0,1
18,3,3,0,2,2,1,1
19,3,3,0,2,2,2,1
20,3,3,0,2,2,0,1
21,3,3,0,2,1,1,1
22,3,3,0,2,1,2,1
23,3,3,0,2,1,0,1
24,3,3,0,2,0,1,1
25,3,3,0,2,0,2,1
26,3,3,0,2,0,0,1
27,3,3,1,0,2,1,1
28,3,3,1,0,2,2,1
29,3,3,1,0,2,0,1
30,3,3,1,0,1,1,1
31,3,3,1,0,1,2,1
32,3,3,1,0,1,0,1
33,3,3,1,0,0,1,1
34,3,3,1,0,0,2,1
35,3,3,1,0,0,0,1
36,3,3,1,1,2,1,1
37,3,3,1,1,2,2,1
38,3,3,1,1,2,0,1
39,3,3,1,1,1,1,1
40,3,3,1,1,1,2,1
41,3,3,1,1,1,0,1
42,3,3,1,1,0,1,1
43,3,3,1,1,0,2,1
44,3,3,1,1,0,0,1
45,3,3,1,2,2,1,1
46,3,3,1,2,2,2,1
47,3,3,1,2,2,0,1
48,3,3,1,2,1,1,1
49,3,3,1,2,1,2,1
50,3,3,1,2,1,0,1
51,3,3,1,2,0,1,1
52,3,3,1,2,0,2,1
53,3,3,1,2,0,0,1
54,3,3,2,0,2,1,1
55,3,3,2,0,2,2,1
56,3,3,2,0,2,0,1
57,3,3,2,0,1,1,1
58,3,3,2,0,1,2,1
59,3,3,2,0,1,0,1
60,3,3,2,0,0,1,1
61,3,3,2,0,0,2,1
62,3,3,2,0,0,0,1
63,3,3,2,1,2,1,1
64,3,3,2,1,2,2,1
65,3,3,2,1,2,0,1
66,3,3,2,1,1,1,1
67,3,3,2,1,1,2,1
68,3,3,2,1,1,0,1
69,3,3,2,1,0,1,1
70,3,3,2,1,0,2,1
71,3,3,2,1,0,0,1
72,3,3,2,2,2,1,1
73,3,3,2,2,2,2,1
74,3,3,2,2,2,0,1
75,3,3,2,2,1,1,1
76,3,3,2,2,1,2,1
77,3,3,2,2,1,0,1
78,3,3,2,2,0,1,1
79,3,3,2,2,0,2,1
80,3,3,2,2,0,0,1
81,3,3,3,0,2,1,1
82,3,3,3,0,2,2,1
83,3,3,3,0,2,0,1
84,3,3,3,0,1,1,1
85,3,3,3,0,1,2,1
86,3,3,3,0,1,0,1
87,3,3,3,0,0,1,1
88,3,3,3,0,0,2,1
89,3,3,3,0,0,0,1
90,3,3,3,1,2,1,1
91,3,3,3,1,2,2,1
92,3,3,3,1,2,0,1
93,3,3,3,1,1,1,1
94,3,3,3,1,1,2,1
95,3,3,3,1,1,0,1
96,3,3,3,1,0,1,1
97,3,3,3,1,0,2,1
98,3,3,3,1,0,0,1
99,3,3,3,2,2,1,1
100,3,3,3,2,2,2,1
101,3,3,3,2,2,0,1
102,3,3,3,2,1,1,1
103,3,3,3,2,1,2,1
104,3,3,3,2,1,0,1
105,3,3,3,2,0,1,1
106,3,3,3,2,0,2,1
107,3,3,3,2,0,0,1
108,3,0,0,0,2,1,1
109,3,0,0,0,2,2,1
110,3,0,0,0,2,0,1
111,3,0,0,0,1,1,1
112,3,0,0,0,1,2,1
113,3,0,0,0,1,0,1
114,3,0,0,0,0,1,1
115,3,0,0,0,0,2,1
116,3,0,0,0,0,0,1
117,3,0,0,1,2,1,1
118,3,0,0,1,2,2,1
119,3,0,0,1,2,0,1
120,3,0,0,1,1,1,1
121,3,0,0,1,1,2,1
122,3,0,0,1,1,0,1
123,3,0,0,1,0,1,1
124,3,0,0,1,0,2,1
125,3,0,0,1,0,0,1
126,3,0,0,2,2,1,1
127,3,0,0,2,2,2,1
128,3,0,0,2,2,0,1
129,3,0,0,2,1,1,1
130,3,0,0,2,1,2,1
131,3,0,0,2,1,0,1
132,3,0,0,2,0,1,1
133,3,0,0,2,0,2,1
134,3,0,0,2,0,0,1
135,3,0,1,0,2,1,1
136,3,0,1,0,2,2,1
137,3,0,1,0,2,0,1
138,3,0,1,0,1,1,1
139,3,0,1,0,1,2,1
140,3,0,1,0,1,0,1
141,3,0,1,0,0,1,1
142,3,0,1,0,0,2,1
143,3,0,1,0,0,0,1
144,3,0,1,1,2,1,1
145,3,0,1,1,2,2,1
146,3,0,1,1,2,0,1
147,3,0,1,1,1,1,1
148,3,0,1,1,1,2,1
149,3,0,1,1,1,0,1
150,3,0,1,1,0,1,1
151,3,0,1,1,0,2,1
152,3,0,1,1,0,0,1
153,3,0,1,2,2,1,1
154,3,0,1,2,2,2,1
155,3,0,1,2,2,0,1
156,3,0,1,2,1,1,1
157,3,0,1,2,1,2,1
158,3,0,1,2,1,0,1
159,3,0,1,2,0,1,1
160,3,0,1,2,0,2,1
161,3,0,1,2,0,0,1
162,3,0,2,0,2,1,1
