,attr1,attr2,attr3,attr4,attr5,attr6,class
0,0,0,0,0,3,1,0
1,0,0,0,0,0,0,0
2,0,0,0,2,1,0,0
3,0,0,0,2,1,1,0
4,0,0,0,2,3,0,0
5,0,0,0,2,2,0,0
6,0,0,0,2,0,0,0
7,0,0,0,1,3,0,0
8,0,0,0,1,0,0,0
9,0,0,1,0,1,0,0
10,0,0,1,0,1,1,0
11,0,0,1,2,2,0,0
12,0,0,1,2,0,0,0
13,0,0,1,2,0,1,1
14,0,0,1,1,1,1,0
15,0,0,1,1,3,1,1
16,0,2,0,0,1,1,0
17,0,2,0,2,1,1,0
18,0,2,0,2,3,1,1
19,0,2,0,2,2,0,0
20,0,2,0,2,2,1,1
21,0,2,0,2,0,0,0
22,0,2,0,1,1,0,0
23,0,2,0,1,1,1,0
24,0,2,0,1,3,1,1
25,0,2,0,1,2,0,0
26,0,2,0,1,2,1,1
27,0,2,0,1,0,0,0
28,0,2,0,1,0,1,1
29,0,2,1,0,3,0,0
30,0,2,1,0,0,0,0
31,0,2,1,2,2,0,1
32,0,2,1,2,0,0,1
33,0,2,1,1,1,0,0
34,0,2,1,1,1,1,1
35,0,2,1,1,2,0,1
36,0,2,1,1,2,1,0
37,0,2,1,1,0,0,1
38,0,2,1,1,0,1,0
39,0,1,0,0,1,1,0
40,0,1,0,0,3,1,0
41,0,1,0,0,2,0,0
42,0,1,0,0,2,1,0
43,0,1,0,2,3,0,0
44,0,1,0,2,3,1,1
45,0,1,0,2,2,1,1
46,0,1,0,2,0,0,0
47,0,1,0,1,3,1,1
48,0,1,0,1,2,0,0
49,0,1,0,1,0,1,1
50,0,1,1,0,2,0,0
51,0,1,1,0,2,1,1
52,0,1,1,0,0,0,0
53,0,1,1,2,1,1,1
54,0,1,1,2,2,1,0
55,0,1,1,2,0,1,0
56,0,1,1,1,3,0,1
57,2,0,0,0,1,0,0
58,2,0,0,0,3,1,0
59,2,0,0,0,2,0,0
60,2,0,0,2,3,1,1
61,2,0,0,1,1,1,0
62,2,0,0,1,3,1,1
63,2,0,0,1,2,1,1
64,2,0,0,1,0,0,0
65,2,0,1,0,1,0,0
66,2,0,1,0,3,1,1
67,2,0,1,0,0,0,0
68,2,0,1,2,3,0,1
69,2,0,1,2,0,1,0
70,2,0,1,1,1,0,0
71,2,0,1,1,1,1,1
72,2,0,1,1,3,1,0
73,2,0,1,1,2,1,0
74,2,0,1,1,0,1,0
75,2,2,0,0,2,0,0
76,2,2,0,0,0,1,1
77,2,2,0,2,1,0,0
78,2,2,0,2,2,0,1
79,2,2,0,1,2,0,1
80,2,2,0,1,2,1,0
81,2,2,0,1,0,0,1
82,2,2,1,0,1,0,0
83,2,2,1,0,3,1,0
84,2,2,1,0,2,1,0
85,2,2,1,0,0,0,1
86,2,2,1,0,0,1,0
87,2,2,1,2,1,0,1
88,2,2,1,2,3,1,0
89,2,2,1,2,2,0,0
90,2,2,1,1,1,0,1
91,2,2,1,1,3,0,0
92,2,2,1,1,3,1,0
93,2,2,1,1,0,1,0
94,2,1,0,0,1,0,0
95,2,1,0,0,1,1,0
96,2,1,0,0,2,1,1
97,2,1,0,2,1,0,0
98,2,1,0,2,2,0,1
99,2,1,0,2,2,1,0
100,2,1,0,2,0,1,0
101,2,1,0,1,1,1,1
102,2,1,0,1,3,0,1
103,2,1,0,1,0,0,1
104,2,1,1,0,1,1,1
105,2,1,1,0,3,0,1
106,2,1,1,0,2,0,1
107,2,1,1,0,0,1,0
108,2,1,1,2,1,0,1
109,2,1,1,2,3,0,0
110,2,1,1,2,2,1,0
111,2,1,1,1,2,0,0
112,2,1,1,1,2,1,0
113,2,1,1,1,0,1,0
114,1,0,0,0,0,0,0
115,1,0,0,2,1,1,0
116,1,0,0,2,3,1,1
117,1,0,0,2,2,1,1
118,1,0,0,2,0,0,0
119,1,0,0,2,0,1,1
120,1,0,0,1,1,0,0
121,1,0,0,1,1,1,0
122,1,0,0,1,3,1,1
123,1,0,0,1,2,1,1
124,1,0,1,0,1,0,0
125,1,0,1,0,3,1,1
126,1,0,1,0,2,0,0
127,1,0,1,0,2,1,1
128,1,0,1,0,0,0,0
129,1,0,1,0,0,1,1
130,1,0,1,2,3,0,1
131,1,0,1,1,1,1,1
132,1,0,1,1,3,0,1
133,1,0,1,1,3,1,0
134,1,0,1,1,0,1,0
135,1,2,0,0,1,1,0
136,1,2,0,0,3,1,1
137,1,2,0,0,2,0,0
138,1,2,0,0,2,1,1
139,1,2,0,2,1,1,1
140,1,2,0,2,3,0,1
141,1,2,0,1,1,0,0
142,1,2,0,1,3,0,1
143,1,2,0,1,2,0,1
144,1,2,0,1,2,1,0
145,1,2,1,0,1,0,0
146,1,2,1,0,3,1,0
147,1,2,1,0,2,0,1
148,1,2,1,0,2,1,0
149,1,2,1,2,1,0,1
150,1,2,1,2,3,0,0
151,1,2,1,2,3,1,0
152,1,2,1,2,2,1,0
153,1,2,1,1,1,0,1
154,1,2,1,1,2,1,0
155,1,2,1,1,0,1,0
156,1,1,0,0,1,0,0
157,1,1,0,0,3,0,0
158,1,1,0,0,2,0,0
159,1,1,0,0,2,1,1
160,1,1,0,2,2,1,0
161,1,1,1,0,1,0,0
162,1,1,1,2,1,0,1
163,1,1,1,2,3,0,0
164,1,1,1,2,2,0,0
165,1,1,1,2,2,1,0
166,1,1,1,1,1,0,1
167,1,1,1,1,3,0,0
168,1,1,1,1,0,1,0
169,0,0,0,0,1,0,0
170,0,0,0,0,1,1,0
171,0,0,0,0,3,0,0
172,0,0,0,0,3,1,0
173,0,0,0,0,2,0,0
174,0,0,0,0,2,1,0
175,0,0,0,0,0,0,0
176,0,0,0,0,0,1,0
177,0,0,0,2,1,0,0
178,0,0,0,2,1,1,0
179,0,0,0,2,3,0,0
180,0,0,0,2,3,1,0
181,0,0,0,2,2,0,0
182,0,0,0,2,2,1,0
183,0,0,0,2,0,0,0
184,0,0,0,2,0,1,0
185,0,0,0,1,1,0,0
186,0,0,0,1,1,1,0
187,0,0,0,1,3,0,0
188,0,0,0,1,3,1,0
189,0,0,0,1,2,0,0
190,0,0,0,1,2,1,0
191,0,0,0,1,0,0,0
192,0,0,0,1,0,1,0
193,0,0,1,0,1,0,0
194,0,0,1,0,1,1,0
195,0,0,1,0,3,0,0
196,0,0,1,0,3,1,0
197,0,0,1,0,2,0,0
198,0,0,1,0,2,1,0
199,0,0,1,0,0,0,0
200,0,0,1,0,0,1,0
201,0,0,1,2,1,0,0
202,0,0,1,2,1,1,0
203,0,0,1,2,3,0,0
204,0,0,1,2,3,1,1
205,0,0,1,2,2,0,0
206,0,0,1,2,2,1,1
207,0,0,1,2,0,0,0
208,0,0,1,2,0,1,1
209,0,0,1,1,1,0,0
210,0,0,1,1,1,1,0
211,0,0,1,1,3,0,0
212,0,0,1,1,3,1,1
213,0,0,1,1,2,0,0
214,0,0,1,1,2,1,1
215,0,0,1,1,0,0,0
216,0,0,1,1,0,1,1
217,0,2,0,0,1,0,0
218,0,2,0,0,1,1,0
219,0,2,0,0,3,0,0
220,0,2,0,0,3,1,0
221,0,2,0,0,2,0,0
222,0,2,0,0,2,1,0
223,0,2,0,0,0,0,0
224,0,2,0,0,0,1,0
225,0,2,0,2,1,0,0
226,0,2,0,2,1,1,0
227,0,2,0,2,3,0,0
228,0,2,0,2,3,1,1
229,0,2,0,2,2,0,0
230,0,2,0,2,2,1,1
231,0,2,0,2,0,0,0
232,0,2,0,2,0,1,1
233,0,2,0,1,1,0,0
234,0,2,0,1,1,1,0
235,0,2,0,1,3,0,0
236,0,2,0,1,3,1,1
237,0,2,0,1,2,0,0
238,0,2,0,1,2,1,1
239,0,2,0,1,0,0,0
240,0,2,0,1,0,1,1
241,0,2,1,0,1,0,0
242,0,2,1,0,1,1,0
243,0,2,1,0,3,0,0
244,0,2,1,0,3,1,1
245,0,2,1,0,2,0,0
246,0,2,1,0,2,1,1
247,0,2,1,0,0,0,0
248,0,2,1,0,0,1,1
249,0,2,1,2,1,0,0
250,0,2,1,2,1,1,1
251,0,2,1,2,3,0,1
252,0,2,1,2,3,1,0
253,0,2,1,2,2,0,1
254,0,2,1,2,2,1,0
255,0,2,1,2,0,0,1
256,0,2,1,2,0,1,0
257,0,2,1,1,1,0,0
258,0,2,1,1,1,1,1
259,0,2,1,1,3,0,1
260,0,2,1,1,3,1,0
261,0,2,1,1,2,0,1
262,0,2,1,1,2,1,0
263,0,2,1,1,0,0,1
264,0,2,1,1,0,1,0
265,0,1,0,0,1,0,0
266,0,1,0,0,1,1,0
267,0,1,0,0,3,0,0
268,0,1,0,0,3,1,0
269,0,1,0,0,2,0,0
270,0,1,0,0,2,1,0
271,0,1,0,0,0,0,0
272,0,1,0,0,0,1,0
273,0,1,0,2,1,0,0
274,0,1,0,2,1,1,0
275,0,1,0,2,3,0,0
276,0,1,0,2,3,1,1
277,0,1,0,2,2,0,0
278,0,1,0,2,2,1,1
279,0,1,0,2,0,0,0
280,0,1,0,2,0,1,1
281,0,1,0,1,1,0,0
282,0,1,0,1,1,1,0
283,0,1,0,1,3,0,0
284,0,1,0,1,3,1,1
285,0,1,0,1,2,0,0
286,0,1,0,1,2,1,1
287,0,1,0,1,0,0,0
288,0,1,0,1,0,1,1
289,0,1,1,0,1,0,0
290,0,1,1,0,1,1,0
291,0,1,1,0,3,0,0
292,0,1,1,0,3,1,1
293,0,1,1,0,2,0,0
294,0,1,1,0,2,1,1
295,0,1,1,0,0,0,0
296,0,1,1,0,0,1,1
297,0,1,1,2,1,0,0
298,0,1,1,2,1,1,1
299,0,1,1,2,3,0,1
300,0,1,1,2,3,1,0
301,0,1,1,2,2,0,1
302,0,1,1,2,2,1,0
303,0,1,1,2,0,0,1
304,0,1,1,2,0,1,0
305,0,1,1,1,1,0,0
306,0,1,1,1,1,1,1
307,0,1,1,1,3,0,1
308,0,1,1,1,3,1,0
309,0,1,1,1,2,0,1
310,0,1,1,1,2,1,0
311,0,1,1,1,0,0,1
312,0,1,1,1,0,1,0
313,2,0,0,0,1,0,0
314,2,0,0,0,1,1,0
315,2,0,0,0,3,0,0
316,2,0,0,0,3,1,0
317,2,0,0,0,2,0,0
318,2,0,0,0,2,1,0
319,2,0,0,0,0,0,0
320,2,0,0,0,0,1,0
321,2,0,0,2,1,0,0
322,2,0,0,2,1,1,0
323,2,0,0,2,3,0,0
324,2,0,0,2,3,1,1
325,2,0,0,2,2,0,0
326,2,0,0,2,2,1,1
327,2,0,0,2,0,0,0
328,2,0,0,2,0,1,1
329,2,0,0,1,1,0,0
330,2,0,0,1,1,1,0
331,2,0,0,1,3,0,0
332,2,0,0,1,3,1,1
333,2,0,0,1,2,0,0
334,2,0,0,1,2,1,1
335,2,0,0,1,0,0,0
336,2,0,0,1,0,1,1
337,2,0,1,0,1,0,0
338,2,0,1,0,1,1,0
339,2,0,1,0,3,0,0
340,2,0,1,0,3,1,1
341,2,0,1,0,2,0,0
342,2,0,1,0,2,1,1
343,2,0,1,0,0,0,0
344,2,0,1,0,0,1,1
345,2,0,1,2,1,0,0
346,2,0,1,2,1,1,1
347,2,0,1,2,3,0,1
348,2,0,1,2,3,1,0
349,2,0,1,2,2,0,1
350,2,0,1,2,2,1,0
351,2,0,1,2,0,0,1
352,2,0,1,2,0,1,0
353,2,0,1,1,1,0,0
354,2,0,1,1,1,1,1
355,2,0,1,1,3,0,1
356,2,0,1,1,3,1,0
357,2,0,1,1,2,0,1
358,2,0,1,1,2,1,0
359,2,0,1,1,0,0,1
360,2,0,1,1,0,1,0
