dataset,test_accuracy,energy_dist_for_sample,p_val_of_dist
5,0.9365853658536586,-0.007401272347935123,1.0
16,0.9804878048780488,-0.002324179221314389,0.7412127985191393
19,1.0,-0.00042750862721174245,0.3593140946184087
24,0.926829268292683,-0.0034521314598438594,1.0
36,0.8975609756097561,-0.00014583606448088538,0.33109374810345704
44,0.9707317073170731,0.002803950861938681,0.14886921704230488
53,1.0,0.0018719837318591837,0.19450510713470065
57,0.9951219512195122,-0.0072747053250434325,1.0
60,0.9658536585365853,-0.002134982271678735,0.6696679039614216
65,0.975609756097561,0.0034349883574319446,0.13067670878723595
68,0.8731707317073171,0.002336904927316172,0.1702305983277611
69,0.9609756097560975,0.00040854762315036214,0.2829479904255636
70,0.8682926829268293,-1.4992004397160987e-05,0.31868249827530487
81,0.8926829268292683,-0.0030835102543272674,1.0
82,0.9658536585365853,0.002264767524066416,0.17389944980089966
85,1.0,-0.0036260822641484727,1.0
89,0.9121951219512195,0.0010793873698799737,0.2353092754595935
107,0.9317073170731708,0.0009892468087235103,0.24126132389403845
112,0.9560975609756097,0.0012117924738625028,0.22689928607220528
118,0.9658536585365853,-0.004354998488411547,1.0
