Compiling 2 TensorCircuit layers...
[Epoch 1/500][train LL: -14.68; val LL: -14.60] 
[Epoch 2/500][train LL: -14.59; val LL: -14.52] 
[Epoch 3/500][train LL: -14.50; val LL: -14.43] 
[Epoch 4/500][train LL: -14.42; val LL: -14.35] 
[Epoch 5/500][train LL: -14.34; val LL: -14.28] 
[Epoch 6/500][train LL: -14.26; val LL: -14.20] 
[Epoch 7/500][train LL: -14.18; val LL: -14.13] 
[Epoch 8/500][train LL: -14.11; val LL: -14.05] 
[Epoch 9/500][train LL: -14.03; val LL: -13.98] 
[Epoch 10/500][train LL: -13.96; val LL: -13.91] 
[Epoch 11/500][train LL: -13.89; val LL: -13.84] 
[Epoch 12/500][train LL: -13.82; val LL: -13.78] 
[Epoch 13/500][train LL: -13.75; val LL: -13.71] 
[Epoch 14/500][train LL: -13.68; val LL: -13.65] 
[Epoch 15/500][train LL: -13.62; val LL: -13.58] 
[Epoch 16/500][train LL: -13.55; val LL: -13.52] 
[Epoch 17/500][train LL: -13.49; val LL: -13.46] 
[Epoch 18/500][train LL: -13.43; val LL: -13.40] 
[Epoch 19/500][train LL: -13.36; val LL: -13.35] 
[Epoch 20/500][train LL: -13.30; val LL: -13.29] 
[Epoch 21/500][train LL: -13.24; val LL: -13.23] 
[Epoch 22/500][train LL: -13.19; val LL: -13.18] 
[Epoch 23/500][train LL: -13.13; val LL: -13.12] 
[Epoch 24/500][train LL: -13.07; val LL: -13.07] 
[Epoch 25/500][train LL: -13.02; val LL: -13.02] 
[Epoch 26/500][train LL: -12.96; val LL: -12.97] 
[Epoch 27/500][train LL: -12.91; val LL: -12.92] 
[Epoch 28/500][train LL: -12.86; val LL: -12.87] 
[Epoch 29/500][train LL: -12.80; val LL: -12.82] 
[Epoch 30/500][train LL: -12.75; val LL: -12.77] 
[Epoch 31/500][train LL: -12.70; val LL: -12.73] 
[Epoch 32/500][train LL: -12.65; val LL: -12.68] 
[Epoch 33/500][train LL: -12.60; val LL: -12.64] 
[Epoch 34/500][train LL: -12.56; val LL: -12.59] 
[Epoch 35/500][train LL: -12.51; val LL: -12.55] 
[Epoch 36/500][train LL: -12.46; val LL: -12.50] 
[Epoch 37/500][train LL: -12.41; val LL: -12.46] 
[Epoch 38/500][train LL: -12.37; val LL: -12.42] 
[Epoch 39/500][train LL: -12.32; val LL: -12.38] 
[Epoch 40/500][train LL: -12.28; val LL: -12.34] 
[Epoch 41/500][train LL: -12.24; val LL: -12.30] 
[Epoch 42/500][train LL: -12.19; val LL: -12.26] 
[Epoch 43/500][train LL: -12.15; val LL: -12.22] 
[Epoch 44/500][train LL: -12.11; val LL: -12.18] 
[Epoch 45/500][train LL: -12.07; val LL: -12.14] 
[Epoch 46/500][train LL: -12.03; val LL: -12.11] 
[Epoch 47/500][train LL: -11.99; val LL: -12.07] 
[Epoch 48/500][train LL: -11.95; val LL: -12.04] 
[Epoch 49/500][train LL: -11.91; val LL: -12.00] 
[Epoch 50/500][train LL: -11.87; val LL: -11.97] 
[Epoch 51/500][train LL: -11.83; val LL: -11.93] 
[Epoch 52/500][train LL: -11.79; val LL: -11.90] 
[Epoch 53/500][train LL: -11.75; val LL: -11.86] 
[Epoch 54/500][train LL: -11.72; val LL: -11.83] 
[Epoch 55/500][train LL: -11.68; val LL: -11.80] 
[Epoch 56/500][train LL: -11.65; val LL: -11.77] 
[Epoch 57/500][train LL: -11.61; val LL: -11.74] 
[Epoch 58/500][train LL: -11.58; val LL: -11.71] 
[Epoch 59/500][train LL: -11.54; val LL: -11.68] 
[Epoch 60/500][train LL: -11.51; val LL: -11.65] 
[Epoch 61/500][train LL: -11.47; val LL: -11.62] 
[Epoch 62/500][train LL: -11.44; val LL: -11.59] 
[Epoch 63/500][train LL: -11.41; val LL: -11.56] 
[Epoch 64/500][train LL: -11.37; val LL: -11.53] 
[Epoch 65/500][train LL: -11.34; val LL: -11.50] 
[Epoch 66/500][train LL: -11.31; val LL: -11.47] 
[Epoch 67/500][train LL: -11.28; val LL: -11.45] 
[Epoch 68/500][train LL: -11.25; val LL: -11.42] 
[Epoch 69/500][train LL: -11.22; val LL: -11.39] 
[Epoch 70/500][train LL: -11.19; val LL: -11.37] 
[Epoch 71/500][train LL: -11.16; val LL: -11.34] 
[Epoch 72/500][train LL: -11.13; val LL: -11.32] 
[Epoch 73/500][train LL: -11.10; val LL: -11.29] 
[Epoch 74/500][train LL: -11.07; val LL: -11.27] 
[Epoch 75/500][train LL: -11.04; val LL: -11.24] 
[Epoch 76/500][train LL: -11.02; val LL: -11.22] 
[Epoch 77/500][train LL: -10.99; val LL: -11.20] 
[Epoch 78/500][train LL: -10.96; val LL: -11.17] 
[Epoch 79/500][train LL: -10.93; val LL: -11.15] 
[Epoch 80/500][train LL: -10.91; val LL: -11.13] 
[Epoch 81/500][train LL: -10.88; val LL: -11.11] 
[Epoch 82/500][train LL: -10.85; val LL: -11.08] 
[Epoch 83/500][train LL: -10.83; val LL: -11.06] 
[Epoch 84/500][train LL: -10.80; val LL: -11.04] 
[Epoch 85/500][train LL: -10.78; val LL: -11.02] 
[Epoch 86/500][train LL: -10.75; val LL: -11.00] 
[Epoch 87/500][train LL: -10.73; val LL: -10.98] 
[Epoch 88/500][train LL: -10.70; val LL: -10.96] 
[Epoch 89/500][train LL: -10.68; val LL: -10.94] 
[Epoch 90/500][train LL: -10.65; val LL: -10.92] 
[Epoch 91/500][train LL: -10.63; val LL: -10.90] 
[Epoch 92/500][train LL: -10.61; val LL: -10.88] 
[Epoch 93/500][train LL: -10.58; val LL: -10.86] 
[Epoch 94/500][train LL: -10.56; val LL: -10.84] 
[Epoch 95/500][train LL: -10.54; val LL: -10.83] 
[Epoch 96/500][train LL: -10.52; val LL: -10.81] 
[Epoch 97/500][train LL: -10.49; val LL: -10.79] 
[Epoch 98/500][train LL: -10.47; val LL: -10.77] 
[Epoch 99/500][train LL: -10.45; val LL: -10.76] 
[Epoch 100/500][train LL: -10.43; val LL: -10.74] 
[Epoch 101/500][train LL: -10.41; val LL: -10.72] 
[Epoch 102/500][train LL: -10.39; val LL: -10.71] 
[Epoch 103/500][train LL: -10.37; val LL: -10.69] 
[Epoch 104/500][train LL: -10.34; val LL: -10.67] 
[Epoch 105/500][train LL: -10.32; val LL: -10.66] 
[Epoch 106/500][train LL: -10.30; val LL: -10.64] 
[Epoch 107/500][train LL: -10.28; val LL: -10.63] 
[Epoch 108/500][train LL: -10.26; val LL: -10.61] 
[Epoch 109/500][train LL: -10.24; val LL: -10.60] 
[Epoch 110/500][train LL: -10.23; val LL: -10.58] 
[Epoch 111/500][train LL: -10.21; val LL: -10.57] 
[Epoch 112/500][train LL: -10.19; val LL: -10.55] 
[Epoch 113/500][train LL: -10.17; val LL: -10.54] 
[Epoch 114/500][train LL: -10.15; val LL: -10.53] 
[Epoch 115/500][train LL: -10.13; val LL: -10.51] 
[Epoch 116/500][train LL: -10.11; val LL: -10.50] 
[Epoch 117/500][train LL: -10.09; val LL: -10.48] 
[Epoch 118/500][train LL: -10.08; val LL: -10.47] 
[Epoch 119/500][train LL: -10.06; val LL: -10.46] 
[Epoch 120/500][train LL: -10.04; val LL: -10.45] 
[Epoch 121/500][train LL: -10.02; val LL: -10.43] 
[Epoch 122/500][train LL: -10.01; val LL: -10.42] 
[Epoch 123/500][train LL: -9.99; val LL: -10.41] 
[Epoch 124/500][train LL: -9.97; val LL: -10.40] 
[Epoch 125/500][train LL: -9.96; val LL: -10.38] 
[Epoch 126/500][train LL: -9.94; val LL: -10.37] 
[Epoch 127/500][train LL: -9.92; val LL: -10.36] 
[Epoch 128/500][train LL: -9.91; val LL: -10.35] 
[Epoch 129/500][train LL: -9.89; val LL: -10.34] 
[Epoch 130/500][train LL: -9.88; val LL: -10.33] 
[Epoch 131/500][train LL: -9.86; val LL: -10.32] 
[Epoch 132/500][train LL: -9.84; val LL: -10.31] 
[Epoch 133/500][train LL: -9.83; val LL: -10.30] 
[Epoch 134/500][train LL: -9.81; val LL: -10.29] 
[Epoch 135/500][train LL: -9.80; val LL: -10.28] 
[Epoch 136/500][train LL: -9.78; val LL: -10.27] 
[Epoch 137/500][train LL: -9.77; val LL: -10.26] 
[Epoch 138/500][train LL: -9.75; val LL: -10.25] 
[Epoch 139/500][train LL: -9.74; val LL: -10.24] 
[Epoch 140/500][train LL: -9.72; val LL: -10.23] 
[Epoch 141/500][train LL: -9.71; val LL: -10.22] 
[Epoch 142/500][train LL: -9.70; val LL: -10.21] 
[Epoch 143/500][train LL: -9.68; val LL: -10.20] 
[Epoch 144/500][train LL: -9.67; val LL: -10.19] 
[Epoch 145/500][train LL: -9.66; val LL: -10.18] 
[Epoch 146/500][train LL: -9.64; val LL: -10.17] 
[Epoch 147/500][train LL: -9.63; val LL: -10.16] 
[Epoch 148/500][train LL: -9.61; val LL: -10.15] 
[Epoch 149/500][train LL: -9.60; val LL: -10.15] 
[Epoch 150/500][train LL: -9.59; val LL: -10.14] 
[Epoch 151/500][train LL: -9.58; val LL: -10.13] 
[Epoch 152/500][train LL: -9.56; val LL: -10.12] 
[Epoch 153/500][train LL: -9.55; val LL: -10.11] 
[Epoch 154/500][train LL: -9.54; val LL: -10.11] 
[Epoch 155/500][train LL: -9.53; val LL: -10.10] 
[Epoch 156/500][train LL: -9.51; val LL: -10.09] 
