dataset,test_accuracy,energy_dist_for_sample,p_val_of_dist
5,0.8829268292682927,0.005028495007013214,0.08993448334831289
16,0.9170731707317074,-0.0033333881004128643,1.0
19,0.9707317073170731,0.001278055165453256,0.22342605549927913
24,0.8536585365853658,0.007446708424031787,0.05028926862672607
36,0.8682926829268293,0.0008814850162090194,0.248017513211105
44,0.926829268292683,0.0019563120672397892,0.18499364015873487
53,0.9951219512195122,0.005948983998573802,0.07433608292584917
57,0.975609756097561,0.0051127211582846195,0.08710003916307152
60,0.8731707317073171,0.002542954307512621,0.16052636674772877
65,0.9170731707317074,0.0034316529236117087,0.13099791948867948
68,0.8536585365853658,-0.001245334044976224,0.4668900069665244
69,0.926829268292683,0.0026510566301620967,0.1570397766348365
70,0.8585365853658536,0.006051319650823218,0.06893069448502503
81,0.8439024390243902,0.005824790229579831,0.07419390943167266
82,1.0,-0.0007647160962975464,0.3981012505096416
85,0.9902439024390244,0.0021200678021252055,0.1813659507430621
89,0.8341463414634146,0.000977480118313516,0.2417382888095661
107,0.8634146341463415,0.0007280752727183595,0.25874496144556414
112,0.9170731707317074,0.0038457385814559836,0.11603214810215666
118,0.8682926829268293,0.0028100995326199667,0.1524199599012551
